10	10000000000	2.10625e-10	21.0625	1.79769e+307
12	10000000000	1.75911e-10	21.1094	1.49808e+307
16	10000000000	1.29883e-10	20.7812	1.12356e+307
20	10000000000	1.37734e-10	27.5469	8.98847e+306
24	10000000000	1.05143e-10	25.2344	7.49039e+306
32	10000000000	9.7168e-11	31.0938	5.61779e+306
40	5000000000	9.1875e-11	18.375	4.49423e+306
50	5000000000	9.35625e-11	23.3906	3.59539e+306
64	5000000000	8.05664e-11	25.7812	2.8089e+306
80	5000000000	7.71484e-11	30.8594	2.24712e+306
100	2500000000	7.86875e-11	19.6719	1.79769e+306
128	2500000000	7.22656e-11	23.125	1.40445e+306
160	2500000000	7.08203e-11	28.3281	1.12356e+306
202	2500000000	7.15656e-11	36.1406	8.89947e+305
256	1250000000	6.81641e-11	21.8125	7.02224e+305
322	1250000000	6.88665e-11	27.7188	5.5829e+305
406	1250000000	6.84113e-11	34.7188	4.42782e+305
512	625000000	7.63184e-11	24.4219	3.51112e+305
644	625000000	6.73525e-11	27.1094	2.79145e+305
812	625000000	6.71798e-11	34.0938	2.21391e+305
1024	312500000	7.07031e-11	22.625	1.75556e+305
1290	312500000	6.84884e-11	27.6094	1.39356e+305
1624	312500000	6.96736e-11	35.3594	1.10695e+305
2048	156250000	6.96289e-11	22.2812	8.7778e+304
2580	156250000	1.18333e-10	47.7031	6.9678e+304
3250	78125000	1.22277e-10	31.0469	5.53136e+304
4096	39062500	1.19434e-10	19.1094	4.3889e+304
5160	39062500	1.21938e-10	24.5781	3.4839e+304
6500	39062500	1.20246e-10	30.5312	2.76568e+304
8192	19531250	1.22656e-10	19.625	2.19445e+304
10320	19531250	1.22558e-10	24.7031	1.74195e+304
13002	19531250	1.22935e-10	31.2188	1.38263e+304
16384	9765625	1.24414e-10	19.9062	1.09722e+304
20642	9765625	1.22469e-10	24.6875	8.70891e+303
26006	9765625	1.21387e-10	30.8281	6.91261e+303
32768	4882812	1.22754e-10	19.6406	5.48612e+303
41284	4882812	1.21461e-10	24.4844	4.35445e+303
52014	4882812	1.2249e-10	31.1094	3.45617e+303
65536	2441406	1.24316e-10	19.8906	2.74306e+303
82570	2441406	1.31379e-10	26.4844	2.17717e+303
104030	2441406	2.14584e-10	54.5	1.72805e+303
131072	1220703	2.66016e-10	42.5625	1.37153e+303
165140	610351	2.7206e-10	27.4219	1.08859e+303
208062	610351	2.69581e-10	34.2344	8.64018e+302
262144	305175	2.12696e-10	17.0156	6.85766e+302
330280	305175	2.72526e-10	27.4688	5.44294e+302
416126	305175	2.65151e-10	33.6719	4.32007e+302
524288	152587	2.66994e-10	21.3594	3.42883e+302
660560	152587	2.71287e-10	27.3438	2.72147e+302
832254	152587	2.86314e-10	36.3594	2.16003e+302
1048576	76293	3.07035e-10	24.5625	1.71441e+302
1321122	76293	3.67401e-10	37.0312	1.36073e+302
1664510	38146	4.51565e-10	28.6719	1.08001e+302
2097152	38146	5.31459e-10	42.5156	8.57207e+301
2642244	19073	5.82579e-10	29.3594	6.80366e+301
3329020	19073	5.84451e-10	37.1094	5.40007e+301
4194304	9536	6.10594e-10	24.4219	4.28603e+301
5284490	9536	6.26948e-10	31.5938	3.40183e+301
6658042	4768	6.29025e-10	19.9688	2.70003e+301
8388608	4768	6.42628e-10	25.7031	2.14302e+301
10568982	4768	6.61986e-10	33.3594	1.70091e+301
13316084	2384	6.63479e-10	21.0625	1.35002e+301
16777216	2384	6.96539e-10	27.8594	1.07151e+301
21137966	2384	6.81209e-10	34.3281	8.50457e+300
26632170	1192	7.12698e-10	22.625	6.75008e+300
33554432	1192	7.17243e-10	28.6875	5.35754e+300
42275934	1192	7.04154e-10	35.4844	4.25228e+300
53264340	596	6.80214e-10	21.5938	3.37504e+300
67108864	596	6.93413e-10	27.7344	2.67877e+300
84551870	596	6.8555e-10	34.5469	2.12614e+300
106528680	298	6.82674e-10	21.6719	1.68752e+300
134217728	298	6.60598e-10	26.4219	1.33939e+300
169103740	298	6.93922e-10	34.9688	1.06307e+300
213057362	149	6.89565e-10	21.8906	8.4376e+299
